Episode   5000/20000 | Avg Reward:   11.76 | Max F: 1.0000 | Depth:   3 | LR: 7.79e-05 | Eps: 0.100
Episode   5100/20000 | Avg Reward:   12.69 | Max F: 1.0000 | Depth:   3 | LR: 7.75e-05 | Eps: 0.100
Episode   5200/20000 | Avg Reward:   10.30 | Max F: 1.0000 | Depth:   3 | LR: 7.71e-05 | Eps: 0.100
Episode   5300/20000 | Avg Reward:   11.26 | Max F: 1.0000 | Depth:   3 | LR: 7.67e-05 | Eps: 0.100
Episode   5400/20000 | Avg Reward:   11.73 | Max F: 1.0000 | Depth:   3 | LR: 7.63e-05 | Eps: 0.100
Episode   5500/20000 | Avg Reward:   12.36 | Max F: 1.0000 | Depth:   3 | LR: 7.60e-05 | Eps: 0.100
Episode   5600/20000 | Avg Reward:    3.97 | Max F: 0.5000 | Depth:  20 | LR: 7.56e-05 | Eps: 0.100
Episode   5700/20000 | Avg Reward:   -1.26 | Max F: 1.0000 | Depth:   3 | LR: 7.52e-05 | Eps: 0.100
Episode   5800/20000 | Avg Reward:   11.27 | Max F: 1.0000 | Depth:   5 | LR: 7.48e-05 | Eps: 0.100
Episode   5900/20000 | Avg Reward:   11.45 | Max F: 1.0000 | Depth:   3 | LR: 7.45e-05 | Eps: 0.100
Episode   6000/20000 | Avg Reward:   11.50 | Max F: 1.0000 | Depth:   4 | LR: 7.41e-05 | Eps: 0.100
Episode   6100/20000 | Avg Reward:   12.75 | Max F: 1.0000 | Depth:   3 | LR: 7.37e-05 | Eps: 0.100
Episode   6200/20000 | Avg Reward:   12.54 | Max F: 1.0000 | Depth:   4 | LR: 7.33e-05 | Eps: 0.100
Episode   6300/20000 | Avg Reward:    6.80 | Max F: 0.5000 | Depth:  20 | LR: 7.30e-05 | Eps: 0.100
Episode   6400/20000 | Avg Reward:    9.58 | Max F: 1.0000 | Depth:   3 | LR: 7.26e-05 | Eps: 0.100
Episode   6500/20000 | Avg Reward:   11.93 | Max F: 0.5000 | Depth:  20 | LR: 7.23e-05 | Eps: 0.100
Episode   6600/20000 | Avg Reward:    8.18 | Max F: 1.0000 | Depth:   3 | LR: 7.19e-05 | Eps: 0.100
Episode   6700/20000 | Avg Reward:   10.83 | Max F: 1.0000 | Depth:   3 | LR: 7.15e-05 | Eps: 0.100
Episode   6800/20000 | Avg Reward:   11.87 | Max F: 1.0000 | Depth:   3 | LR: 7.12e-05 | Eps: 0.100
Episode   6900/20000 | Avg Reward:   12.11 | Max F: 1.0000 | Depth:   3 | LR: 7.08e-05 | Eps: 0.100
Episode   7000/20000 | Avg Reward:   10.65 | Max F: 1.0000 | Depth:   3 | LR: 7.05e-05 | Eps: 0.100
Episode   7100/20000 | Avg Reward:    9.95 | Max F: 1.0000 | Depth:   3 | LR: 7.01e-05 | Eps: 0.100
Episode   7200/20000 | Avg Reward:   12.08 | Max F: 1.0000 | Depth:   3 | LR: 6.98e-05 | Eps: 0.100
Episode   7300/20000 | Avg Reward:   -4.98 | Max F: 0.5000 | Depth:  20 | LR: 6.94e-05 | Eps: 0.100
Episode   7400/20000 | Avg Reward:   -2.75 | Max F: 1.0000 | Depth:   3 | LR: 6.91e-05 | Eps: 0.100
Episode   7500/20000 | Avg Reward:   10.57 | Max F: 1.0000 | Depth:   3 | LR: 6.87e-05 | Eps: 0.100
Episode   7600/20000 | Avg Reward:   12.33 | Max F: 1.0000 | Depth:   4 | LR: 6.84e-05 | Eps: 0.100
Episode   7700/20000 | Avg Reward:   13.15 | Max F: 1.0000 | Depth:   3 | LR: 6.80e-05 | Eps: 0.100
Episode   7800/20000 | Avg Reward:   11.82 | Max F: 0.5000 | Depth:  20 | LR: 6.77e-05 | Eps: 0.100
Episode   7900/20000 | Avg Reward:   12.71 | Max F: 1.0000 | Depth:   3 | LR: 6.74e-05 | Eps: 0.100
Episode   8000/20000 | Avg Reward:    9.54 | Max F: 1.0000 | Depth:   3 | LR: 6.70e-05 | Eps: 0.100
Episode   8100/20000 | Avg Reward:   11.99 | Max F: 0.5000 | Depth:  20 | LR: 6.67e-05 | Eps: 0.100
Episode   8200/20000 | Avg Reward:   10.11 | Max F: 1.0000 | Depth:   5 | LR: 6.64e-05 | Eps: 0.100
Episode   8300/20000 | Avg Reward:   11.50 | Max F: 1.0000 | Depth:   3 | LR: 6.60e-05 | Eps: 0.100
Episode   8400/20000 | Avg Reward:   10.97 | Max F: 1.0000 | Depth:   3 | LR: 6.57e-05 | Eps: 0.100
Episode   8500/20000 | Avg Reward:   12.56 | Max F: 1.0000 | Depth:   3 | LR: 6.54e-05 | Eps: 0.100
Episode   8600/20000 | Avg Reward:   11.29 | Max F: 1.0000 | Depth:   3 | LR: 6.51e-05 | Eps: 0.100
Episode   8700/20000 | Avg Reward:   10.87 | Max F: 0.5000 | Depth:  20 | LR: 6.47e-05 | Eps: 0.100
Episode   8800/20000 | Avg Reward:   10.04 | Max F: 1.0000 | Depth:   3 | LR: 6.44e-05 | Eps: 0.100
Episode   8900/20000 | Avg Reward:   -3.09 | Max F: 0.5000 | Depth:  20 | LR: 6.41e-05 | Eps: 0.100
Episode   9000/20000 | Avg Reward:   -7.97 | Max F: 0.2500 | Depth:  20 | LR: 6.38e-05 | Eps: 0.100
Episode   9100/20000 | Avg Reward:    5.32 | Max F: 1.0000 | Depth:   4 | LR: 6.34e-05 | Eps: 0.100
Episode   9200/20000 | Avg Reward:   12.48 | Max F: 1.0000 | Depth:   3 | LR: 6.31e-05 | Eps: 0.100
Episode   9300/20000 | Avg Reward:   12.07 | Max F: 1.0000 | Depth:   3 | LR: 6.28e-05 | Eps: 0.100
Episode   9400/20000 | Avg Reward:   13.28 | Max F: 1.0000 | Depth:   4 | LR: 6.25e-05 | Eps: 0.100
Episode   9500/20000 | Avg Reward:   12.40 | Max F: 1.0000 | Depth:   3 | LR: 6.22e-05 | Eps: 0.100
Episode   9600/20000 | Avg Reward:   11.85 | Max F: 1.0000 | Depth:  12 | LR: 6.19e-05 | Eps: 0.100
Episode   9700/20000 | Avg Reward:   12.23 | Max F: 1.0000 | Depth:   4 | LR: 6.16e-05 | Eps: 0.100
Episode   9800/20000 | Avg Reward:   12.81 | Max F: 1.0000 | Depth:   3 | LR: 6.13e-05 | Eps: 0.100
Episode   9900/20000 | Avg Reward:   12.17 | Max F: 1.0000 | Depth:   4 | LR: 6.10e-05 | Eps: 0.100
Episode  10000/20000 | Avg Reward:   10.69 | Max F: 1.0000 | Depth:   3 | LR: 6.07e-05 | Eps: 0.100
