Episode   5000/20000 | Avg Reward:   -1.84 | Max F: 0.1665 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   5100/20000 | Avg Reward:   -1.87 | Max F: 0.0784 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   5200/20000 | Avg Reward:   -1.87 | Max F: 0.2777 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   5300/20000 | Avg Reward:   -1.83 | Max F: 0.0054 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   5400/20000 | Avg Reward:   -1.78 | Max F: 0.0963 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   5500/20000 | Avg Reward:   -1.88 | Max F: 0.1567 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   5600/20000 | Avg Reward:   -1.89 | Max F: 0.0419 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   5700/20000 | Avg Reward:   -1.74 | Max F: 0.0097 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   5800/20000 | Avg Reward:   -1.86 | Max F: 0.0983 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   5900/20000 | Avg Reward:   -1.89 | Max F: 0.1118 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   6000/20000 | Avg Reward:   -1.77 | Max F: 0.1176 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   6100/20000 | Avg Reward:   -1.86 | Max F: 0.0250 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   6200/20000 | Avg Reward:   -1.94 | Max F: 0.2103 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   6300/20000 | Avg Reward:   -1.78 | Max F: 0.0110 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   6400/20000 | Avg Reward:   -1.88 | Max F: 0.1954 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   6500/20000 | Avg Reward:   -1.77 | Max F: 0.1954 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   6600/20000 | Avg Reward:   -1.78 | Max F: 0.1434 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   6700/20000 | Avg Reward:   -1.88 | Max F: 0.0142 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   6800/20000 | Avg Reward:   -1.74 | Max F: 0.2777 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   6900/20000 | Avg Reward:   -1.88 | Max F: 0.0313 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   7000/20000 | Avg Reward:   -1.86 | Max F: 0.0241 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   7100/20000 | Avg Reward:   -1.85 | Max F: 0.1567 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   7200/20000 | Avg Reward:   -1.94 | Max F: 0.0842 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   7300/20000 | Avg Reward:   -1.89 | Max F: 0.0842 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   7400/20000 | Avg Reward:   -1.93 | Max F: 0.1567 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   7500/20000 | Avg Reward:   -1.83 | Max F: 0.0076 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   7600/20000 | Avg Reward:   -1.87 | Max F: 0.0381 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   7700/20000 | Avg Reward:   -1.86 | Max F: 0.2236 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   7800/20000 | Avg Reward:   -1.86 | Max F: 0.0616 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   7900/20000 | Avg Reward:   -1.83 | Max F: 0.1954 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   8000/20000 | Avg Reward:   -1.82 | Max F: 0.0705 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   8100/20000 | Avg Reward:   -1.93 | Max F: 0.0294 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   8200/20000 | Avg Reward:   -1.82 | Max F: 0.1400 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   8300/20000 | Avg Reward:   -1.93 | Max F: 0.1505 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   8400/20000 | Avg Reward:   -1.88 | Max F: 0.1618 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   8500/20000 | Avg Reward:   -1.86 | Max F: 0.1723 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   8600/20000 | Avg Reward:   -1.63 | Max F: 0.2344 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   8700/20000 | Avg Reward:   -1.72 | Max F: 0.0425 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   8800/20000 | Avg Reward:   -1.86 | Max F: 0.1567 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   8900/20000 | Avg Reward:   -1.77 | Max F: 0.0493 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   9000/20000 | Avg Reward:   -1.90 | Max F: 0.1618 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
